user_id,skill_name,type,activityId,correct,attempt_count,successRate,sequence,visited_At,completed_At
norway22101,Variables and Operations,Challenges,JDecInc2,1,2,1,"1,1",2023-04-04 23:00:11.356,2023-04-04 23:04:57.793
norway22101,Variables and Operations,Challenges,JDecInc3,1,2,0.5,"0,1",2023-04-04 23:05:11.837,2023-04-04 23:05:50.336
norway22101,Variables and Operations,Challenges,FahrenheitToCelsius,1,10,0.2,"0,0,0,0,0,0,0,0,1,1",2023-04-04 23:06:37.297,2023-04-04 23:08:03.394
norway22101,Variables and Operations,Challenges,DisplayTime2,1,5,0.2,"0,0,0,0,1",2023-04-04 23:08:54.73,2023-04-04 23:09:56.436
norway22101,Variables and Operations,Challenges,VendingMachine2,1,3,0.33,"0,0,1",2023-04-04 23:09:59.126,2023-04-04 23:10:35.22
norway22101,Variables and Operations,Challenges,BmiCalculator2,1,16,0.06,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1",2023-04-04 23:10:35.167,2023-04-04 23:13:39.217
norway22101,Variables and Operations,Challenges,PythagoreanTheorem2,1,3,0.33,"0,0,1",2023-04-04 23:05:51.584,2023-04-04 23:06:38.059
norway22101,Variables and Operations,Coding,second_in_days,0,5,0,"0,0,0,0,0",2023-04-04 23:16:27.772,#N/A
norway22101,Strings,Challenges,Initials2,0,10,0,"0,0,0,0,0,0,0,0,0,0",2023-04-04 23:23:00.288,#N/A
norway22101,Strings,Coding,first_half,0,4,0,"0,0,0,0",2023-04-05 00:18:37.861,#N/A
norway22101,If-Else,Challenges,ifElseOddEven,1,1,1,1,2023-04-04 23:39:29.871,2023-04-04 23:39:38.473
norway22101,If-Else,Challenges,JIfElseWages2,1,14,0.07,"0,0,0,0,0,0,0,0,0,0,0,0,0,1",2023-04-04 23:39:39.094,2023-04-04 23:41:47.704
norway22101,If-Else,Challenges,JNestedIfMaxOfThree,1,1,1,1,2023-04-04 23:41:48.125,2023-04-04 23:41:55.662
norway22101,If-Else,Coding,sortaSum,0,23,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",2023-04-04 23:42:17.999,#N/A
norway22101,While Loops,Coding,while1_coding,0,17,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",2023-04-04 23:59:26.413,#N/A
norway22101,For Loops,Coding,for1_coding,0,2,0,0,2023-04-05 00:30:46.152,#N/A
norway22101,Objects and Classes,Coding,object_classes_1,1,2,0.5,"0,1",2023-04-05 00:14:29.351,2023-04-05 00:15:44.178
norway22101,Objects and Classes,Coding,object_classes_2,0,4,0,"0,0,0,0",2023-04-05 00:15:44.884,#N/A
norway22101,Nested Loops,Coding,nested_loops_1,1,2,0.5,"0,1",2023-04-05 00:26:08.308,2023-04-05 00:27:24.709
norway22101,Arrays,Challenges,JArrayBasic2,1,1,1,1,2023-04-04 23:52:44.278,2023-04-04 23:52:51.9
norway22101,Arrays,Challenges,JArrayBasic3,1,8,0.12,"0,0,0,0,0,0,0,1",2023-04-04 23:52:52.3,2023-04-04 23:54:22.63
norway22101,Arrays,Challenges,JArraySwapAdjacentElements,1,6,0.17,"0,0,0,0,0,1",2023-04-04 23:54:45.637,2023-04-04 23:55:24.821
norway22101,Arrays,Coding,arrays_1,1,2,0.5,"0,1",2023-04-04 23:27:33.076,2023-04-04 23:29:07.818
norway22101,Arrays,Coding,arrays_2,1,2,0.5,"0,1",2023-04-04 23:29:09.186,2023-04-04 23:30:57.157
norway22101,Arrays,Coding,arrays_3,1,1,1,1,2023-04-05 18:58:25.3,2023-04-05 19:00:15.533
norway22101,Arrays,Coding,array_4,1,2,0.5,"0,1",2023-04-04 23:34:26.026,2023-04-04 23:35:19.929
norway22101,Arrays,Coding,fixing_order_of_numbers,1,5,0.2,"0,0,0,0,1",2023-04-04 23:30:59.299,2023-04-04 23:52:36.621
norway22101,Two-Dimensional Arrays,Coding,pcrs_2d_arrays_1,1,2,0.5,"0,1",2023-04-05 00:17:44.476,2023-04-05 00:18:25.776
norway22101,ArrayLists,Coding,array_lst_1,1,2,0.5,"0,1",2023-04-05 00:00:48.62,2023-04-05 00:01:59.766
norway22101,Inheritance,Coding,inheritance_1,0,8,0,"0,0,0,0,0,0,0,0",2023-04-05 00:03:57.698,#N/A
norway22102,Variables and Operations,Challenges,JDecInc2,1,4,0.25,"0,0,0,1",#N/A,#N/A
norway22102,Variables and Operations,Challenges,JDecInc3,1,5,0.2,"0,0,0,0,1",2023-03-17 11:24:41.968,2023-03-17 11:27:53.242
norway22102,Variables and Operations,Challenges,FahrenheitToCelsius,1,2,0.5,"0,1",2023-03-17 11:39:04.788,2023-03-17 11:41:55.868
