user_id,skill_name,type,activityId,correct,attempt_count,successRate,sequence,visited_At,completed_At,order_id,class
norway22102,Variables and Operations,Challenges,JDecInc3,0,5,0.2,"0,0,0,0,1",2023-03-17 11:24:41.968,2023-03-17 11:27:53.242,3,OBJ2000
norway22102,Variables and Operations,Challenges,FahrenheitToCelsius,0,2,0.5,"0,1",2023-03-17 11:39:04.788,2023-03-17 11:41:55.868,18,OBJ2000
norway22102,Variables and Operations,Challenges,DisplayTime2,0,4,0.25,"0,0,0,1",2023-03-17 11:42:06.427,2023-03-17 11:55:26.123,29,OBJ2000
norway22102,Variables and Operations,Challenges,VendingMachine2,1,1,1,1,2023-03-17 11:55:54.107,2023-03-17 11:58:18.628,47,OBJ2000
norway22114,Variables and Operations,Challenges,JDecInc2,1,1,1,1,2023-03-17 12:02:58.935,2023-03-17 12:58:25.588,48,OBJ2000
norway22102,Variables and Operations,Challenges,PythagoreanTheorem2,0,5,0.2,"0,0,0,0,1",2023-03-17 12:24:57.34,2023-03-17 12:26:16.158,68,OBJ2000
norway22102,Variables and Operations,Challenges,PythagoreanTheorem2,-1,5,0.2,"0,0,0,0,1",2023-03-17 12:24:57.35,2023-03-17 12:26:16.158,69,OBJ2000
norway22114,Variables and Operations,Challenges,JDecInc3,1,1,1,1,2023-03-17 12:58:58.249,2023-03-17 14:05:51.657,89,OBJ2000
norway22114,Variables and Operations,Challenges,FahrenheitToCelsius,1,1,1,1,2023-03-17 14:13:07.998,2023-03-17 14:23:19.104,131,OBJ2000
norway22114,Variables and Operations,Challenges,DisplayTime2,0,6,0.33,"0,0,0,0,1,1",2023-03-17 14:23:27.761,2023-03-17 14:46:57.806,132,OBJ2000
norway22127,Variables and Operations,Challenges,JDecInc2,0,2,0.5,"0,1",2023-03-17 14:39:22.955,#N/A,158,OBJ2000
norway22127,Variables and Operations,Challenges,JDecInc3,1,1,1,1,2023-03-17 14:46:09.853,2023-03-17 14:48:02.253,169,OBJ2000
norway22127,Variables and Operations,Challenges,JDecInc3,-1,1,1,1,2023-03-17 14:46:09.854,2023-03-17 14:48:02.253,170,OBJ2000
norway22114,Variables and Operations,Challenges,VendingMachine2,1,1,1,1,2023-03-17 14:47:08.236,#N/A,171,OBJ2000
norway22127,Strings,Challenges,Initials2,0,3,0.33,"0,0,1",2023-03-17 14:52:15.527,2023-03-17 14:57:04.872,174,OBJ2000
norway22127,Strings,Challenges,Initials3,1,1,1,1,2023-03-17 14:57:10.74,2023-03-17 14:58:34.654,176,OBJ2000
norway22127,Strings,Challenges,StringAddition2,0,3,0.33,"0,0,1",2023-03-17 14:58:36.271,2023-03-17 15:09:28.831,178,OBJ2000
norway22127,Strings,Challenges,StringAddition2,-1,3,0.33,"0,0,1",2023-03-17 14:58:36.272,2023-03-17 15:09:28.831,179,OBJ2000
norway22114,Variables and Operations,Challenges,BmiCalculator2,1,1,1,1,2023-03-17 15:04:23.966,#N/A,181,OBJ2000
norway22105,Variables and Operations,Challenges,PythagoreanTheorem2,1,1,1,1,2023-03-17 15:05:11.211,2023-03-17 15:07:26.044,183,OBJ2000
norway22105,Variables and Operations,Challenges,JDecInc2,0,6,0.17,"0,0,0,0,0,1",2023-03-17 15:08:00.05,2023-03-17 15:13:00.911,184,OBJ2000
norway22105,Variables and Operations,Challenges,JDecInc3,0,2,0.5,"0,1",2023-03-17 15:13:03.375,2023-03-17 15:14:55.89,185,OBJ2000
norway22105,Variables and Operations,Challenges,FahrenheitToCelsius,0,3,0.33,"0,0,1",2023-03-17 15:15:28.045,2023-03-17 15:16:41.188,186,OBJ2000
norway22105,Variables and Operations,Challenges,DisplayTime2,0,4,0.25,"0,0,0,1",2023-03-17 15:17:06.656,2023-03-17 15:19:29.647,187,OBJ2000
norway22105,Variables and Operations,Challenges,VendingMachine2,0,3,0.33,"0,0,1",2023-03-17 15:19:40.504,2023-03-17 15:20:46.994,188,OBJ2000
norway22105,Variables and Operations,Challenges,BmiCalculator2,0,4,0.25,"0,0,0,1",2023-03-17 15:20:56.516,2023-03-17 15:22:30.511,189,OBJ2000
norway22105,Variables and Operations,Challenges,BmiCalculator2,-1,4,0.25,"0,0,0,1",2023-03-17 15:20:56.517,2023-03-17 15:22:30.511,190,OBJ2000
norway22114,Variables and Operations,Challenges,PythagoreanTheorem2,0,6,0.17,"0,0,0,0,0,1",2023-03-17 15:50:44.604,2023-03-20 14:28:06.032,191,OBJ2000
norway22114,Variables and Operations,Challenges,PythagoreanTheorem2,-1,6,0.17,"0,0,0,0,0,1",2023-03-17 15:50:44.605,2023-03-20 14:28:06.033,192,OBJ2000
norway22127,Boolean Expressions,Challenges,JPhoneAge2,1,1,1,1,2023-03-17 18:47:52.481,2023-03-17 18:52:01.386,193,OBJ2000
