user_id,correct,correct_predictions,state_predictions,skill_name
norway22103,0,0.16666208997627807,0.11579256349840497,Variables and Operations
norway22103,0,0.18772325307482687,0.14645138289104134,Variables and Operations
norway22103,0,0.18716750720988448,0.14564238141179034,Variables and Operations
norway22103,0,0.18718254175219584,0.1456642672551893,Variables and Operations
norway22103,0,0.18718213529465896,0.14566367557332652,Variables and Operations
norway22103,-1,0.18718214628340069,0.14566369156968184,Variables and Operations
norway22103,0,0.4583951292843523,0.29826549467332225,Boolean Expressions
norway22103,1,0.3816910068302394,0.18688170275144714,Boolean Expressions
norway22103,1,0.48825424300467246,0.3416245893762878,Boolean Expressions
norway22103,-1,0.5374013816581963,0.4129922615455965,Boolean Expressions
norway22113,0,0.16666208997627807,0.11579256349840497,Variables and Operations
norway22113,1,0.18772325307482687,0.14645138289104134,Variables and Operations
norway22113,0,0.15366434818655994,0.09687169876845333,Variables and Operations
norway22113,0,0.18805242529656532,0.1469305602113123,Variables and Operations
norway22113,0,0.18715859243835148,0.1456294041431999,Variables and Operations
norway22113,0,0.1871827827551638,0.14566461808417402,Variables and Operations
norway22113,0,0.18718212877904233,0.14566366608851736,Variables and Operations
norway22113,-1,0.1871821464595529,0.1456636918261073,Variables and Operations
norway22113,0,0.2887464386510577,0.08568519332501329,Strings
norway22113,1,0.2593848444157286,0.037445433421283744,Strings
norway22113,0,0.28421159113921757,0.07823464573492468,Strings
norway22113,0,0.258969661572105,0.03676330694913011,Strings
norway22113,0,0.25675152783779115,0.03311901441105967,Strings
norway22113,0,0.25656381086617275,0.03281060399001266,Strings
norway22113,0,0.25654797610044366,0.032784588192274325,Strings
norway22113,-1,0.2565466407328804,0.032782394244285105,Strings
norway22113,1,0.4583951292843523,0.29826549467332225,Boolean Expressions
norway22113,0,0.5259346491037643,0.39634115972729833,Boolean Expressions
norway22113,0,0.3858282091588338,0.19288942787186084,Boolean Expressions
norway22113,0,0.3782598874256149,0.18189929662259233,Boolean Expressions
norway22113,0,0.3779481633107054,0.18144663498145458,Boolean Expressions
norway22113,1,0.3779354866605901,0.18142822693096747,Boolean Expressions
norway22113,0,0.48601660778126876,0.3383752686338497,Boolean Expressions
norway22113,0,0.3832515825334454,0.18914785004370274,Boolean Expressions
norway22113,0,0.3781529023621703,0.18174394119104312,Boolean Expressions
norway22113,0,0.37794381119716697,0.1814403151789032,Boolean Expressions
norway22113,-1,0.3779353097663908,0.1814279700588976,Boolean Expressions
norway22113,0,0.5502106989726903,0.3934755512460565,If-Else
norway22113,0,0.345435385291159,0.11093520597276264,If-Else
norway22113,0,0.34552691359407534,0.11106149286664314,If-Else
norway22113,0,0.34552688547826865,0.11106145407363834,If-Else
norway22113,0,0.34552688548690647,0.11106145408555648,If-Else
norway22113,-1,0.34552688548690386,0.11106145408555283,If-Else
norway22113,0,0.20591006944280635,0.07028847111177175,While Loops
norway22113,1,0.17830277457302057,0.022703717114781998,While Loops
